파일명	전체 pptx
패스트캠퍼스_교육제안서_삼성디스플레이_25년도 AI 전문가 양성과정_250226.txt	https://drive.google.com/file/d/1apnrKPxNSiYIst2_AcuphoRs4sBQB-kM/view
패스트캠퍼스_교육제안서_에이플러스에셋_AI리터러시교육(초중급).txt	https://drive.google.com/file/d/1QtCkX_BdHPiYUvMS2ZWB3VHqaUNNVCM1/view
패스트캠퍼스_교육제안서_엘지유플러스_비개발자를 위한 바이브코딩 과정_251111.txt	https://drive.google.com/file/d/1xHHkk5K-z7VfeoAWKIe5b1dtEKqZw3lX/view
패스트캠퍼스_교육제안서_엔브이에이치코리아_생성형 AI 임원 대상 특강 과정_250813.txt	https://drive.google.com/file/d/1-v5BxeFRAUei_-TDj6qKN0-QhT82AcDr/view
패스트캠퍼스_교육제안서_한국암웨이_AI로 완성하는 엑셀 업무 자동화 과정.txt	https://drive.google.com/file/d/1wwRzT3pBfJkaap0OoQRV3ycL_nhGppuG/view
(최종)패스트캠퍼스_교육제안서_신한금융지주_2025 AI agent 교육과정.txt	https://drive.google.com/file/d/1mD4FxTMwxuct4FRAUsyTLnur6ofFDvqx/view
패스트캠퍼스_교육제안서_웰컴저축은행_25년도 생성형 AI 과정_250417.txt	https://drive.google.com/file/d/1SOYotn1hLIFPRSaWKdHFRg72gpmYcyMF/view
패스트캠퍼스_교육제안서_대우에스티_AI 리더십 역량 향상 과정.txt	https://drive.google.com/file/d/1bV6f4AcqWrF-YojZVs7rXF7oaStZiQ6W/view
패스트캠퍼스_교육제안서_SK바이오사이언스_생성형 AI 활용 교육_251104(직무특화).txt	https://drive.google.com/file/d/1z1De0lhXhJBJTNPtEk_BcX0-p4NP4ulc/view
패스트캠퍼스_교육제안서_하나금융지주_임원대상 생성형AI_250722.txt	https://drive.google.com/file/d/1qSlaF68UaNi6YgQ1KB-Di0sttVmwiHY-/view
패스트캠퍼스_교육제안서_매일유업_직무별 생성형 AI 실무 활용 과정_vf.txt	https://drive.google.com/file/d/1qQ2pHj7ZEcUad-Ca6WsykeBysaecViLE/view
(Vf)패스트캠퍼스_교육제안서_2025년도 LS그룹 AI심화과정 교육제안서(250110).txt	https://drive.google.com/file/d/1vShd5LrFqE-o3JchMZplpkhR03jB8hIM/view
패스트캠퍼스_교육제안서_제이에스알마이크로코리아_AI를 활용한 엑셀 자동화_251031.txt	https://drive.google.com/file/d/1kE9VeJoWFxs-Ri9lwLUAzCCUq6axGSo_/view
패스트캠퍼스_교육제안서_한화생명_AI PPT 실무자 과정 제안서(250925).txt	https://drive.google.com/file/d/1gTQGWKvXaaYBOLjf6djZnwuYfteVx9aV/view
패스트캠퍼스_교육제안서_KT ds_LLM 모델·서비스 개발 과정.txt	https://drive.google.com/file/d/1MHUj4H02AEA9VfsVkg9ndCkSqL6yv-lt/view
패스트캠퍼스_교육제안서_한화투자증권_AI와 연계한 증권사 금융 상품 개발_250526.txt	https://drive.google.com/file/d/1995duLpJN5h5FkeObbWpKcSge9hBPKZo/view
패스트캠퍼스_교육제안서_효성_AI 프롬프트 엔지니어링 실무 마스터 과정 교육제안서(250205).txt	https://drive.google.com/file/d/13HY8Yk_MnXbEvY6qzSkD28vbUsttYtSJ/view
패스트캠퍼스_교육제안서_롯데홈쇼핑_생성형AI를 활용한 콘텐츠 제작_250407.txt	https://drive.google.com/file/d/1SY4O1rro00RZjj08VMxtrtlpWNMbxHnq/view
패스트캠퍼스_커리큘럼 및 강사프로필_삼성전자 DS_교육담당자(AE) 대상 AI 활용 과정_250819.txt	https://drive.google.com/file/d/1zcm2Hm2QLN3O2Nz7doK3XZKV92iM8n9B/view
